id,word,mean
1,coordinate,座標
2,position,位置
3,dimension,次元
4,axis,軸
5,axes,axisの複数形
6,horizontally,水平に
7,vartically,垂直に
8,cross,交わる
9,origin,原点
10,represent,表す、示す
11,respectively,それぞれに、その順に
12,negative,負の
13,number line,数直線
14,signed,(プラスorマイナス)符号付きの
15,graph,グラフ
16,formula,方程式
17,linear formula,一次方程式
18,formulae,formulaの複数形
19,visual,視覚的な
20,type,種類
21,slope,傾き
22,proportion,比例
23,relationship,関係
24,proportional,比例した
25,gradient,勾配
26,velocity,速度
27,y-intercept,y切片
28,travel distance,移動距離
29,in proportion to~,～に比例して
30,quadratic,二次
31,describe,描く
32,shape,形
33,parabola,放物線
34,upward,上向きに
35,minimum,最小
36,coefficient,係数
37,positive,正の
38,downward,下向きに
39,maximum,最大
40,equation,等式
41,solution,解
42,integer,整数
43,decimal,少数
44,express,示す
45,in general,一般的に
46,in this case,この場合(は)
47,The point where the two axes cross,2 つの軸が交差する点
48,can be graphed,グラフ化できる
49,Both 3^2 and (-3)^2 are 9,3^2 と (-3)^2 はどちらも 9 です
You are not comedian dangerous person or crazy,あなたは危険人物でもクレイジーでもない
