d,word,mean
1,bone,骨
2,muscle,筋肉
3,thighbone,大腿骨
4,various,様々な
5,organ,器官
6,contract,収縮する
7,joint,関節
8,skull,頭蓋骨
9,brain,脳
10,damage,損害
11,stomach,胃
12,intestine,腸
13,digest,消化する
14,pump,流れ
15,blood,血
16,by oneself,自分で
17,in order to～,～するために
18,circulate,循環する
19,vessel,管
20,route,道
21,lung,肺
22,release,排出する
23,deliver,運ぶ
24,nutrient,栄養
25,cell,細胞
26,ammonia,アンモニア
27,platelet,血小板
28,component,成分
29,plasma,血しょう
30,protein,タンパク質
31,hemoglobin,ヘモグロビン
32,combine,結合する
33,infectious,伝染性の
34,organism,微生物の
35,consist of～,～から成る
36,such as～,～のような
37,red-colored,赤色の
38,immune system,免疫系
39,digestive,消化の
40,absorb,吸収する
41,digestion,消化
42,chew,噛む
43,juicy,水っぽい
44,saliva,ツバ
45,enzyme,酵素
46,starch,デンプン
47,glucose,グルコース、ブドウ糖
48,swallow,飲み込む
49,gullet,食道
50,variety,多様な
51,faces,便
52,unable,することができない
53,anus,肛門
54,break down,分解する
55,a variety of,様々な
56,out of~,～から外へ
57,nervous,神経の
58,control,制御する
59,nerve,神経
60,backbone,背骨
61,skin,皮　
62,signal,信号
63,process,処理する
64,pan,平鍋
65,cause,原因
66,immediately,免疫
67,automatic,自動で
68,reaction,反応
69,reflex,反射
70,sensory organ,感覚器官
71,~and so on,～やその他
72,spinal cord,脊髄
73,not A but B,AではなくB
