id,word,mean
1001,in order not to do ,～しないように
1002,so as to do,～するために
1003,so as not to do,～しないように
1004,be to do,～することになっている
1005,for the life of me,どうしても～ない
1006,under[in] no circumstances,どんな状況でも～ない
1007,"seldom, if over",めったに～ない
1008,out of the question,論外で、絶対無理で
1009,if one can help it,できることなら
1010,generally speaking,一般的に言えば
1011,speaking of,... といえば
1012,judgding from ... , ... から判断すると
1013,considering ... , ... を考慮すると
1014,weather permitting,天気が良ければ
1015,with one's arms folded,腕を組んで
1016,had better do,～しなさい
1017,ought to do,～するべきだ
1018,need not to do,～する必要がない
1019,there is no -ing,～できない
1020,feel like -ing,～したい気がする
1021,How about -ing?,～するのはどうですか
1022,look foward to -ing,～するのを楽しみに待つ
1023,be used to -ing,～するのに慣れている
1024,object to -ing,～するのに反対する
1025,when it comes to -ing,～するということになると
1026,need -ing,～される必要がある
1027,it goes without saying that ... , ... ということは言うまでもない
1028,profit,利益、利潤
1029,benefit,利益、恩恵、手当
1030,wealth,富、財産
1031,value,価値、価格
1032,capital,資本（金）
1033,share,分け前
1034,arms,武器、兵器
1035,forces,軍隊、部隊
1036,goods,商品
1037,means,手段、方法
1038,spirits,気分
1039,height,高さ、身長
1040,broad,広い
1041,huge,巨大な、莫大な
1042,tiny,とても小さい
1043,single,たった一つの
1044,depth,深さ、奥行き
1045,fare,（鉄道などの）運賃、料金
1046,fee,（入学や入会の）料金
1047,charge,（サービスに対する）料金
1048,bill,請求書、勘定
1049,admission,入場料
1050,tax,税金
1051,vote,投票する
1052,earn,を稼ぐ、を得る
1053,employ,を雇う
1054,hire,（一時的に）を雇う
1055,export,を輸出する
1056,import,を輸入する
1057,protect,を保護する、をかばう
1058,deliver,（演説・演技など）をする
1059,income,収入、所得
1060,salary,給与
1061,wage,賃金
1062,pay,給料、手当
1063,delay,を遅らせる
1064,disturb,の邪魔をする、を妨げる
1065,bother,の邪魔をする、に面倒をかける
1066,ignore,を無視する
1067,trick,をだます
1068,beg,を請う
1069,client,依頼人
1070,audience,（集合的に）観客、見物人
1071,spectator,（試合やイベントの）観客、見物人
1072,passenger,乗客、旅客
1073,customer,顧客
1074,guest,宿泊客
1075,sepalate,を分ける
1076,connect,をつなぐ
1077,consist,<consist of ... で> ... から成る
1078,compare,を比較する
1079,reserve,を取っておく
1080,work,仕事、労働
1081,labor,労働
1082,job,仕事、職
1083,task,仕事、任務
1084,profession,職業、専門職
1085,occupation,職業、占有
1086,carriage,馬車、車
1087,freight,貨物
1088,load,積み荷
1089,wheel,ハンドル
1090,hard,激しく、熱心に
1091,hardly,ほとんど～ない
1092,just,ちょうど
1093,justly,公正に、正当に
1094,late,（時間が）遅れて、遅く
1095,lately,最近、近ごろ
1096,near,～の近くに
1097,nearly,ほとんど、もう少しで
1098,living,生きている
1099,priceless,大変貴重な
1100,worthless,価値のない
1101,very,まさにその ... 
1102,most,もっとも
1103,mostly,たいていは
1104,pretty,かなり
1105,prettily,かわいらしく
1106,sharp,きっかりと
1107,sharply,鋭く、厳しく
1108,figure,数字、桁、図形
1109,sum,合計、総額
1110,quantity,分量、質量
1111,quarter,４分の１
1112,double,２倍になる
1113,transport,を輸送する
1114,transfer,転勤する
1115,wander,歩きまわる
1116,shift,少し動く
1117,depart,出発する
1118,convey,を伝える
1119,descend,（を）降りる
1120,immigrate,移住する
1121,chairperson,議長、司会者
1122,conference,会議、協議会
1123,financial,財政上の
1124,firm,会社、商店
1125,item,（新聞）記事
1126,manager,経営者、支配人
1127,secretary,秘書
1128,signature,署名、サイン
1129,undertake,を引き受ける
1130,fulfill,（約束・義務）を果たす
1131,establish,を設立する
1132,construct,を建設する
1133,maintain,を維持する
1134,engage,<be engaged in ... で> ... に従順している
1135,slip,紙片、伝票
1136,staff,職員、スタッフ
1137,suit,スーツ
1138,manual,手で行う
1139,deal,を扱う
1140,brand,銘柄、ブランド
1141,congratulate,を祝う
